"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 1 3 1 4 2 2 1 2 3 0
"2" 0 2 0 0 1 2 3 4 0 1
"3" 1 1 1 0 0 1 2 1 0 0
"4" 0 1 0 1 3 0 2 1 1 3
"5" 3 1 4 0 2 3 1 2 1 4
"6" 0 0 0 1 2 0 3 0 1 0
"7" 2 2 0 1 2 2 2 4 1 5
"8" 1 1 2 1 3 2 4 1 0 4
"9" 1 2 1 3 2 4 1 2 1 2
"10" 0 1 2 3 1 2 3 0 0 2
"11" 2 1 2 1 1 3 2 3 3 2
"12" 7 2 1 1 2 2 1 0 0 1
"13" 2 3 1 0 1 0 0 1 1 3
"14" 2 1 2 2 1 4 1 1 0 1
"15" 1 1 2 3 2 1 3 2 2 3
"16" 4 0 6 3 1 2 3 1 2 3
"17" 3 2 4 2 0 1 0 1 1 0
"18" 3 3 0 0 5 6 2 0 2 5
"19" 2 4 0 0 1 3 1 1 1 2
"20" 0 1 1 0 0 1 3 1 0 1
"21" 2 2 1 0 1 1 0 1 1 1
"22" 2 3 2 0 1 2 1 1 1 0
"23" 0 2 2 3 2 2 3 0 0 3
"24" 0 3 0 4 1 0 1 0 0 4
"25" 1 0 0 0 3 4 1 3 4 0
"26" 3 2 1 2 4 2 2 1 1 2
"27" 2 2 3 3 0 2 1 2 2 5
"28" 1 0 2 0 5 2 1 1 1 1
"29" 2 2 2 1 1 1 3 2 2 2
"30" 0 0 2 1 1 1 2 1 2 1
"31" 1 3 2 2 0 0 1 2 3 0
"32" 1 1 0 1 3 0 4 2 1 2
"33" 1 2 4 1 2 3 5 1 5 1
"34" 0 0 2 1 4 2 3 2 0 2
"35" 2 3 3 2 1 6 2 1 2 3
"36" 2 0 1 0 1 1 0 0 3 0
"37" 2 3 0 1 1 2 2 2 1 2
"38" 1 2 0 2 3 2 1 4 2 2
"39" 1 0 3 2 1 3 0 2 0 1
"40" 1 0 0 2 2 1 1 0 2 0
"41" 3 0 2 1 1 3 1 0 2 1
"42" 2 0 2 2 1 0 2 2 2 1
"43" 0 0 4 1 3 1 0 1 1 2
"44" 1 1 2 3 1 1 0 1 2 1
"45" 3 0 3 2 1 1 0 1 0 2
"46" 4 3 1 4 1 1 2 1 2 4
"47" 1 3 0 0 2 1 1 4 0 0
"48" 2 1 1 0 3 2 3 3 2 0
"49" 1 0 1 1 3 2 4 2 2 1
"50" 1 1 3 1 0 1 0 2 1 4
"51" 1 1 1 1 1 0 1 2 0 3
"52" 4 0 2 3 3 1 1 2 1 1
"53" 2 0 0 3 0 4 7 0 2 0
"54" 2 0 1 0 0 3 0 0 2 2
"55" 2 1 2 2 3 1 2 2 0 2
"56" 2 4 4 4 1 2 1 1 2 4
"57" 0 1 0 1 3 3 3 2 0 4
"58" 3 2 1 1 2 2 0 0 1 2
"59" 2 0 1 1 1 2 3 0 4 3
"60" 2 2 1 1 2 0 1 2 0 1
"61" 1 1 3 3 2 3 0 0 2 2
"62" 1 1 1 1 0 0 0 4 0 2
"63" 2 2 3 2 1 2 4 1 2 1
"64" 1 4 3 2 1 1 1 1 0 2
"65" 2 0 2 1 3 0 3 0 0 3
"66" 1 2 2 4 2 1 1 1 0 1
"67" 1 5 1 0 3 1 1 2 2 1
"68" 0 0 2 0 1 1 1 2 1 2
"69" 1 1 1 0 1 1 1 2 1 1
"70" 0 0 1 2 0 1 1 1 1 1
"71" 2 1 0 1 0 1 4 0 0 1
"72" 0 0 3 1 1 1 0 3 2 2
"73" 4 1 0 1 3 5 1 0 2 0
"74" 2 1 3 1 1 0 3 0 1 1
"75" 0 2 2 2 0 1 0 1 3 1
"76" 1 1 2 3 0 1 2 1 4 1
"77" 1 1 1 2 1 1 3 0 0 0
"78" 0 0 1 2 1 0 1 2 1 0
"79" 4 1 1 0 2 2 2 1 3 2
"80" 2 1 2 1 1 1 1 1 1 2
"81" 1 0 6 1 1 0 1 1 1 2
"82" 1 0 3 1 2 3 3 4 0 1
"83" 2 1 1 0 0 1 1 3 1 1
"84" 2 2 2 2 0 1 1 1 1 0
"85" 0 2 0 2 0 1 1 1 2 1
"86" 4 1 1 3 1 1 1 0 2 1
"87" 2 1 2 0 1 5 0 3 0 0
"88" 4 0 2 1 0 1 3 0 1 5
"89" 1 1 2 2 1 1 2 1 2 0
"90" 1 2 0 0 3 0 0 1 5 0
"91" 1 3 0 4 2 2 4 2 1 1
"92" 3 3 0 1 2 0 3 2 3 1
"93" 3 1 3 2 1 4 0 2 3 3
"94" 2 2 1 1 3 0 1 2 0 1
"95" 0 3 0 0 3 1 3 0 2 1
"96" 1 1 3 2 1 1 3 0 2 2
"97" 3 1 3 0 0 2 2 1 0 1
"98" 0 0 1 2 2 0 4 1 3 2
"99" 1 1 0 2 1 0 1 1 3 3
"100" 1 0 0 1 0 2 0 0 1 3
